,AD,AO,BL,CO,GM12878,H1,HC,IMR90,LG,LI,LV,MES,MSC,NPC,OV,PA,PO,RV,SB,SX,TRO
DNase,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True,False,True,False,True
H2A,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
H2AK5ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H2AK9ac,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
H2BK120ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H2BK12ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H2BK15ac,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
H2BK20ac,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
H2BK5ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H3K14ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H3K18ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H3K23ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H3K23me2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
H3K27ac,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
H3K27me3,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
H3K36me3,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
H3K4ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H3K4me1,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
H3K4me2,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H3K4me3,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
H3K56ac,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
H3K79me1,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H3K79me2,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
H3K9ac,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True
H3K9me1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
H3K9me3,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
H4K12ac,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
H4K20me1,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
H4K5ac,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
H4K8ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
H4K91ac,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
